n_workers,batch_size,shuffle_buffer_size,warmup_batches,measure_batches,n_samples,elapsed_sec,throughput_samples_per_sec,rss_before_mb,rss_after_warmup_mb,rss_peak_mb
1,64,4000,20,100,6464,396.29,16.3,41.1,3066.2,3497.3
2,64,4000,20,100,6464,214.16,30.2,39.0,2800.2,3423.2
4,64,4000,20,100,6464,101.5,63.7,39.0,3525.0,4309.6
8,64,4000,20,100,6464,50.59,127.8,41.2,3267.7,4812.4
16,64,4000,20,100,6464,25.7,251.5,39.0,3408.1,5770.5
32,64,4000,20,100,6464,12.87,502.3,38.0,4303.4,6694.3
48,64,4000,20,100,6464,9.17,704.7,40.8,4874.5,8598.6
64,64,4000,20,100,6464,11.92,542.3,41.4,5199.2,9586.8
80,64,4000,20,100,6464,11.19,577.7,40.8,5973.0,10499.4
96,64,4000,20,100,6464,11.15,579.7,38.0,6669.9,11739.9
112,64,4000,20,100,6464,10.99,587.9,39.1,7316.8,12527.1
128,64,4000,20,100,6464,10.63,608.2,39.0,7621.5,12283.1
